JokeyAdi,KosuAdet,derece1,derece2,derece3,derece4,derece5,derece1yuzde,derece2yuzde,derece3yuzde,derece4yuzde,derece5yuzde
ÖMER ERTAŞ (Y2)&nbsp;,1348,100,99,99,108,124,7,7,7,8,9
MUHAMMET ÖZDEMİR (Y2)&nbsp;,1167,88,97,116,113,101,8,8,10,10,9
RECEP ÖZŞAHİN (Y2)&nbsp;,1497,82,104,111,114,129,5,7,7,8,9
EREN DURSUN ÖKTEN (Y1)&nbsp;,1437,72,64,98,103,106,5,4,7,7,7
HÜSEYİN ÖZTOPRAK,1061,65,97,118,125,121,6,9,11,12,11
RAHMİ ÖZDENİZ,645,61,84,84,80,119,9,13,13,12,18
SELİM İPEK,4350,308,335,346,389,431,7,8,8,9,10
SAMİ KAPLAN,3306,261,245,256,293,308,8,7,8,9,9
VAHDETTİN KAPLAN,2002,153,138,182,181,212,8,7,9,9,11
MAZLUM PİR DEMİR (Y2)&nbsp;,1629,148,118,141,161,140,9,7,9,10,9
ÇETİN CANPOLAT (Y2)&nbsp;,1622,82,85,78,119,141,5,5,5,7,9
RECEP YILDIRIM (Y1)&nbsp;,1578,69,92,96,103,133,4,6,6,7,8
AHMET POLAT,605,68,68,65,79,52,11,11,11,13,9
RECEP KETME (Y1)&nbsp;,1005,65,64,102,98,104,6,6,10,10,10
AYHAN POLAT,1108,63,58,88,72,94,6,5,8,6,8
RECEP POLAT (Y1)&nbsp;,1304,61,84,83,95,113,5,6,6,7,9
BEDRİ TEPE (Y1)&nbsp;,796,51,64,56,72,60,6,8,7,9,8
O.POİRİER,349,49,65,52,37,36,14,19,15,11,10
ALPER ÖZÇELİK (Y1)&nbsp;,943,46,61,71,62,78,5,6,8,7,8
KADİR TEKİNALP (Y1)&nbsp;,777,43,53,59,66,71,6,7,8,8,9
LEVENT TAPTIK (Y1)&nbsp;,757,38,56,57,61,73,5,7,8,8,10
EFE AKPINAR (Y1)&nbsp;,494,29,34,34,56,61,6,7,7,11,12
MÜSLÜM CANPOLAT (Y1)&nbsp;,824,25,42,67,75,82,3,5,8,9,10
YAKUP ARAS (Y1)&nbsp;,489,23,21,25,40,52,5,4,5,8,11
YAVUZ PETEK,530,18,22,32,27,31,3,4,6,5,6
SUPHİ GÜMÜŞ (Y1)&nbsp;,273,17,13,12,12,22,6,5,4,4,8
ERDAL KAPUSUZ,301,16,16,18,23,26,5,5,6,8,9
ŞAFAK KAPUCU (Y1)&nbsp;,321,13,15,12,13,21,4,5,4,4,7
MEHMET PARLAK (Y1)&nbsp;,570,12,18,23,24,31,2,3,4,4,5
SALİH PARILDAR (Y1)&nbsp;,325,9,13,15,13,21,3,4,5,4,6
FERDİ KİP,213,8,9,8,14,16,4,4,4,7,8
YUSUF ARSLANPENÇE (Y1)&nbsp;,215,7,10,13,16,21,3,5,6,7,10
OSMAN KAPLAN,258,7,16,24,27,18,3,6,9,10,7
GÖKTAN KAYIP (Y1)&nbsp;,419,5,19,17,15,30,1,5,4,4,7
KEMAL PALA,47,4,1,2,2,7,9,2,4,4,15
CHRISTOPHE SOUMILLON,9,3,2,2,0,0,33,22,22,0,0
İSA KATAR,4133,350,362,366,382,366,8,9,9,9,9
ERSİN KILIK,3421,304,325,323,314,278,9,10,9,9,8
ADEM ŞEN,1968,161,205,215,206,218,8,10,11,10,11
HASAN DEMİRTAŞ,2565,156,198,185,202,237,6,8,7,8,9
YUNUS TAŞDELEN,1676,122,132,127,142,156,7,8,8,8,9
MEHMET ŞAKİR (Y2)&nbsp;,2109,119,158,155,171,194,6,7,7,8,9
AVNİ KARAKUŞ,1364,118,117,120,148,147,9,9,9,11,11
DURMUŞ MALATYALI,2062,118,124,145,163,189,6,6,7,8,9
YUNİS TEMELTAŞ,1365,115,132,169,172,215,8,10,12,13,16
ÇETİN TAŞ (Y2)&nbsp;,1086,105,120,92,92,107,10,11,8,8,10
ŞAHİN AKDUMAN,1584,100,119,124,124,147,6,8,8,8,9
HÜSEYİN KARATAŞ,1039,95,105,124,132,121,9,10,12,13,12
MAHMUT ŞAHİN (Y2)&nbsp;,1020,94,93,113,76,109,9,9,11,7,11
MAHİR ŞAHİN (Y2)&nbsp;,1813,89,127,121,142,156,5,7,7,8,9
YUNUS EMRE YÜKSEL (Y2)&nbsp;,2452,137,148,178,191,221,6,6,7,8,9
ALİ EMRE TÜLEK (Y2)&nbsp;,1475,131,120,131,124,150,9,8,9,8,10
HÜSEYİN YILDIRIM,985,101,84,100,128,140,10,9,10,13,14
MÜSLÜM TUMBUL,1305,96,86,114,110,111,7,7,9,8,9
MÜRSEL KAYİŞ (Y2)&nbsp;,1624,89,111,103,139,173,5,7,6,9,11
KÜRŞAT YILMAZ (Y1)&nbsp;,1412,79,114,125,132,127,6,8,9,9,9
ÜMİT YAYLA,1087,73,67,61,62,86,7,6,6,6,8
HÜSEYİN KAYA,1296,64,91,95,111,112,5,7,7,9,9
MAHMUT SAV,2191,176,170,177,208,191,8,8,8,9,9
RIDVAN KAYA,1315,103,84,128,93,108,8,6,10,7,8
ONUR ŞEVKET İRTİŞ (Y2)&nbsp;,1818,84,98,129,150,160,5,5,7,8,9
MEHMET EMİN AVCI,909,73,69,79,72,75,8,8,9,8,8
ERSAN YAVUZ,885,63,72,70,71,80,7,8,8,8,9
BEKTAŞ SAV (Y1)&nbsp;,1287,59,85,93,99,117,5,7,7,8,9
VEYSEL BOZTAŞ,785,57,64,97,89,85,7,8,12,11,11
ENVER ŞİMŞEK (Y1)&nbsp;,629,56,54,49,57,66,9,9,8,9,10
SERVET KAYA,697,56,63,95,105,119,8,9,14,15,17
MECİT SOYKUVVET,639,51,51,60,53,56,8,8,9,8,9
ERTAN SEVİNDİK,1158,51,53,94,96,139,4,5,8,8,12
UTKU GÜVEN,899,50,68,71,68,98,6,8,8,8,11
MEVLÜT ATÇI,540,48,52,63,70,70,9,10,12,13,13
DAVUT SAV,749,44,58,74,71,69,6,8,10,9,9
NURULLAH GÜVEN,498,39,50,70,65,69,8,10,14,13,14
ŞAHİN CİVACI (Y1)&nbsp;,455,35,35,44,28,47,8,8,10,6,10
DİNÇER SEVGİLİ,393,34,43,52,60,49,9,11,13,15,12
BARIŞ VATANSEVER (Y1)&nbsp;,776,33,38,37,33,61,4,5,5,4,8
GÜVEN GÖKÇE (Y1)&nbsp;,697,30,53,41,56,57,4,8,6,8,8
VEYSEL KESKİN,362,26,26,20,26,33,7,7,6,7,9
ŞEVHAT GÖKÇE (Y1)&nbsp;,241,18,16,18,14,15,7,7,7,6,6
SAVAŞ GÖKÇE (Y1)&nbsp;,338,13,15,17,17,29,4,4,5,5,9
SERKAN YILDIZ (Y2)&nbsp;,2094,130,155,188,193,221,6,7,9,9,11
