JokeyAdi,KosuAdet,derece1,derece2,derece3,derece4,derece5,derece1yuzde,derece2yuzde,derece3yuzde,derece4yuzde,derece5yuzde
ABDULLAH ÇANKAYA (Y2)&nbsp;,2287,148,186,163,194,218,6,8,7,8,10
TÜRKER ÇUBUKÇU,1896,144,130,148,153,163,8,7,8,8,9
ZÜLFÜKAR KARABULUT (Y2)&nbsp;,2324,144,158,174,184,229,6,7,7,8,10
OZAN BULUT,1854,134,146,144,166,178,7,8,8,9,10
UMUT BARLIK,1428,130,113,129,115,139,9,8,9,8,10
MUHAMMED BARAN ÇAKMAK (Y2)&nbsp;,1998,123,131,136,149,191,6,7,7,7,10
ERDAL BAYSAL,1906,120,116,123,133,151,6,6,6,7,8
YUSUF BULUT,2270,120,138,138,188,195,5,6,6,8,9
HÜSEYİN BUDAK,1903,115,134,144,189,174,6,7,8,10,9
ABDULGAFFAR TOPRAK,1797,114,138,131,140,173,6,8,7,8,10
BERKAN ÇIĞLA (Y2)&nbsp;,1998,112,121,138,153,170,6,6,7,8,9
TEKİN KOLCUOĞLU,4686,629,605,651,629,490,13,13,14,13,10
ERCAN ÇANKAYA,5141,545,556,653,659,609,11,11,13,13,12
HAYDAR YÜCE,4055,421,450,490,493,413,10,11,12,12,10
RECEP MANAV,4925,402,376,371,458,499,8,8,8,9,10
EMRAH SİNCAN,6933,401,499,568,639,785,6,7,8,9,11
CUMA DURSUN,4724,343,395,418,482,468,7,8,9,10,10
ONUR ATMACA,5051,332,429,473,520,556,7,8,9,10,11
ALİCAN İNCİ,3914,324,394,385,392,409,8,10,10,10,10
YUSUF CENGİZ,3918,300,312,318,345,360,8,8,8,9,9
TUGAY ALICI,4169,290,341,373,410,407,7,8,9,10,10
SERCAN TIRPAN,3839,244,309,322,341,377,6,8,8,9,10
ATAKAN CEM DAĞDEVİREN,3095,213,304,281,317,326,7,10,9,10,11
FEYZULLAH AVCI,3026,206,222,219,205,267,7,7,7,7,9
FATİH VURUCU,2039,190,191,185,214,192,9,9,9,10,9
CANER TEPE,2498,179,193,210,226,236,7,8,8,9,9
