tarih,sehir,urun,seq,tip,race_kodlar,kombo,tl,beraberlik
2021-01-01,IZMIR,3,1,odendi,182163/182153/182164,3/3/2,16.45,0
2021-01-01,IZMIR,6,1,odendi,182153/182164/182165/182161/182154/182166,"3/2/3/2/2,6/3,8",29.54,1
2021-01-01,IZMIR,5,1,odendi,182164/182165/182161/182154/182166,"2/3/2/2,6/3,8",6.0,1
2021-01-01,IZMIR,4,1,odendi,182165/182161/182154/182166,"3/2/2,6/3,8",1.89,1
2021-01-01,IZMIR,3,2,odendi,182161/182154/182166,"2/2,6/3,8",1.17,1
2021-01-01,KOCAELI,4,1,odendi,182169/182158/182159/182155,1/4/2/1,73.2,0
2021-01-01,KOCAELI,3,1,odendi,182158/182159/182155,4/2/1,17.58,0
2021-01-01,KOCAELI,6,1,odendi,182159/182155/182162/182160/182156/182168,2/1/6/6/2/12,198.1,0
2021-01-01,KOCAELI,5,1,odendi,182155/182162/182160/182156/182168,1/6/6/2/12,14.01,0
2021-01-01,KOCAELI,4,2,odendi,182162/182160/182156/182168,6/6/2/12,9.8,0
2021-01-01,KOCAELI,3,2,odendi,182160/182156/182168,6/2/12,10.56,0
2021-01-02,ADANA,6,1,odendi,182190/182171/182188/182199/182194/182172,5/3/5/1/9/6,2861.52,0
2021-01-02,ADANA,5,1,odendi,182171/182188/182199/182194/182172,3/5/1/9/6,195.28,0
2021-01-02,ADANA,4,1,odendi,182188/182199/182194/182172,5/1/9/6,164.85,0
2021-01-02,ADANA,3,1,odendi,182199/182194/182172,1/9/6,166.11,0
2021-01-02,ADANA,6,2,odendi,182194/182172/182200/182193/182173/182198,"9/6/9,10/9/10/2,5",12669.99,1
2021-01-02,ADANA,5,2,odendi,182172/182200/182193/182173/182198,"6/9,10/9/10/2,5",423.41,1
2021-01-02,ADANA,4,2,odendi,182200/182193/182173/182198,"9,10/9/10/2,5",341.64,1
2021-01-02,ADANA,3,2,odendi,182193/182173/182198,"9/10/2,5",74.9,1
2021-01-02,ISTANBUL,3,1,odendi,182186/182195/182182,"2/3/1,8",1.8,1
2021-01-02,ISTANBUL,6,1,odendi,182195/182182/182192/182197/182196/182189,"3/1,8/1/8/5/9",323.59,1
2021-01-02,ISTANBUL,5,1,odendi,182182/182192/182197/182196/182189,"1,8/1/8/5/9",86.27,1
2021-01-02,ISTANBUL,4,1,odendi,182192/182197/182196/182189,1/8/5/9,66.65,0
2021-01-02,ISTANBUL,3,2,odendi,182197/182196/182189,8/5/9,17.38,0
2021-01-03,ADANA,6,1,odendi,182181/182179/182191/182185/182187/182183,6/3/6/4/2/1,444.55,0
2021-01-03,ADANA,5,1,odendi,182179/182191/182185/182187/182183,3/6/4/2/1,143.91,0
2021-01-03,ADANA,4,1,odendi,182191/182185/182187/182183,6/4/2/1,49.36,0
2021-01-03,ADANA,3,1,odendi,182185/182187/182183,4/2/1,37.17,0
2021-01-03,IZMIR,6,1,odendi,182178/182184/182176/182174/182180/182175,1/2/2/2/3/1,33.93,0
2021-01-03,IZMIR,5,1,odendi,182184/182176/182174/182180/182175,2/2/2/3/1,5.62,0
2021-01-03,IZMIR,4,1,odendi,182176/182174/182180/182175,2/2/3/1,0.97,0
2021-01-03,IZMIR,3,1,odendi,182174/182180/182175,2/3/1,1.11,0
2021-01-04,BURSA,3,1,odendi,182209/182207/182213,"2/3,4,5/7",16.92,1
2021-01-04,BURSA,6,1,odendi,182207/182213/182208/182210/182212/182211,"3,4,5/7/5/6/4/3",118.21,1
2021-01-04,BURSA,5,1,odendi,182213/182208/182210/182212/182211,7/5/6/4/3,64.21,0
2021-01-04,BURSA,4,1,odendi,182208/182210/182212/182211,5/6/4/3,7.82,0
2021-01-04,BURSA,3,2,odendi,182210/182212/182211,6/4/3,8.32,0
2021-01-04,SANLIURFA,4,1,odendi,182206/182215/182204/182216,6/12/6/5,999.8,0
2021-01-04,SANLIURFA,3,1,odendi,182215/182204/182216,12/6/5,228.42,0
2021-01-04,SANLIURFA,6,1,odendi,182204/182216/182217/182214/182205/182218,6/5/3/12/9/8,14228.23,0
2021-01-04,SANLIURFA,5,1,odendi,182216/182217/182214/182205/182218,5/3/12/9/8,1598.93,0
2021-01-04,SANLIURFA,4,2,odendi,182217/182214/182205/182218,3/12/9/8,747.6,0
2021-01-04,SANLIURFA,3,2,odendi,182214/182205/182218,12/9/8,52.16,0
2021-01-05,ADANA,6,1,odendi,182229/182222/182228/182230/182219/182225,2/2/1/3/1/9,2834.31,0
2021-01-05,ADANA,5,1,odendi,182222/182228/182230/182219/182225,2/1/3/1/9,293.62,0
2021-01-05,ADANA,4,1,odendi,182228/182230/182219/182225,1/3/1/9,120.38,0
2021-01-05,ADANA,3,1,odendi,182230/182219/182225,3/1/9,52.67,0
2021-01-05,KOCAELI,6,1,odendi,182226/182227/182231/182224/182221/182220,6/4/4/1/1/6,265.51,0
2021-01-05,KOCAELI,5,1,odendi,182227/182231/182224/182221/182220,4/4/1/1/6,17.44,0
2021-01-05,KOCAELI,4,1,odendi,182231/182224/182221/182220,4/1/1/6,4.54,0
2021-01-05,KOCAELI,3,1,odendi,182224/182221/182220,1/1/6,2.1,0
2021-01-06,BURSA,4,1,odendi,182232/182241/182245/182247,4/6/1/12,71.48,0
2021-01-06,BURSA,3,1,odendi,182241/182245/182247,6/1/12,17.73,0
2021-01-06,BURSA,6,1,odendi,182245/182247/182233/182244/182239/182248,1/12/1/6/4/8,49358.92,0
2021-01-06,BURSA,5,1,odendi,182247/182233/182244/182239/182248,12/1/6/4/8,6524.35,0
2021-01-06,BURSA,4,2,odendi,182233/182244/182239/182248,1/6/4/8,2185.85,0
2021-01-06,BURSA,3,2,odendi,182244/182239/182248,6/4/8,82.81,0
2021-01-06,ISTANBUL,4,1,odendi,182235/182236/182234/182240,4/3/2/4,368.24,0
2021-01-06,ISTANBUL,3,1,odendi,182236/182234/182240,3/2/4,31.55,0
2021-01-06,ISTANBUL,6,1,odendi,182234/182240/182238/182237/182246/182243,2/4/7/2/3/1,261.65,0
2021-01-06,ISTANBUL,5,1,odendi,182240/182238/182237/182246/182243,4/7/2/3/1,40.05,0
2021-01-06,ISTANBUL,4,2,odendi,182238/182237/182246/182243,7/2/3/1,7.81,0
2021-01-06,ISTANBUL,3,2,odendi,182237/182246/182243,2/3/1,7.85,0
2021-01-07,IZMIR,3,1,odendi,182257/182255/182250,2/7/8,8.07,0
2021-01-07,IZMIR,6,1,odendi,182255/182250/182256/182260/182254/182249,7/8/1/4/6/10,233.41,0
2021-01-07,IZMIR,5,1,odendi,182250/182256/182260/182254/182249,8/1/4/6/10,69.44,0
2021-01-07,IZMIR,4,1,odendi,182256/182260/182254/182249,1/4/6/10,20.2,0
2021-01-07,IZMIR,3,2,odendi,182260/182254/182249,4/6/10,15.08,0
2021-01-07,SANLIURFA,4,1,odendi,182252/182258/182263/182262,"8/6/5,7/4",23.49,1
2021-01-07,SANLIURFA,3,1,odendi,182258/182263/182262,6/7/4,15.65,0
2021-01-07,SANLIURFA,6,1,odendi,182263/182262/182259/182251/182253/182261,"5,7/4/10/10/10/1",540.68,1
2021-01-07,SANLIURFA,5,1,odendi,182262/182259/182251/182253/182261,4/10/10/10/1,191.71,0
2021-01-07,SANLIURFA,4,2,odendi,182259/182251/182253/182261,10/10/10/1,117.74,0
2021-01-07,SANLIURFA,3,2,odendi,182251/182253/182261,10/10/1,31.36,0
2021-01-08,IZMIR,6,1,odendi,182269/182271/182266/182270/182267/182268,"7,9/6/3/5/5/3",356.7,1
2021-01-08,IZMIR,5,1,odendi,182271/182266/182270/182267/182268,6/3/5/5/3,47.93,0
2021-01-08,IZMIR,4,1,odendi,182266/182270/182267/182268,3/5/5/3,20.22,0
2021-01-08,IZMIR,3,1,odendi,182270/182267/182268,5/5/3,21.8,0
2021-01-08,KOCAELI,4,1,odendi,182265/182276/182274/182273,"8,9/1/5/2",10.08,1
2021-01-08,KOCAELI,3,1,odendi,182276/182274/182273,1/5/2,10.11,0
2021-01-08,KOCAELI,6,1,odendi,182274/182273/182264/182275/182272/182277,5/2/2/3/3/5,3253.37,0
2021-01-08,KOCAELI,5,1,odendi,182273/182264/182275/182272/182277,2/2/3/3/5,512.03,0
2021-01-08,KOCAELI,4,2,odendi,182264/182275/182272/182277,2/3/3/5,211.55,0
2021-01-08,KOCAELI,3,2,odendi,182275/182272/182277,3/3/5,46.41,0
2021-01-09,ADANA,3,1,odendi,182303/182305/182304,"1/1,5/6",5.1,1
2021-01-09,ADANA,6,1,odendi,182302/182285/182303/182305/182304/182306,"2/3/1/1,5/6/10",3206.44,1
2021-01-09,ADANA,5,1,odendi,182285/182303/182305/182304/182306,"3/1/1,5/6/10",291.74,1
2021-01-09,ADANA,6,2,odendi,182305/182304/182306/182301/182284/182307,"1,5/6/10/6/5/1",9830.26,1
2021-01-09,ADANA,5,2,odendi,182304/182306/182301/182284/182307,6/10/6/5/1,3812.91,0
2021-01-09,ADANA,4,1,odendi,182306/182301/182284/182307,10/6/5/1,994.42,0
2021-01-09,ADANA,3,2,odendi,182301/182284/182307,6/5/1,68.13,0
2021-01-09,ISTANBUL,4,1,odendi,182291/182290/182295/182280,2/3/2/7,3.83,0
2021-01-09,ISTANBUL,3,1,odendi,182290/182295/182280,3/2/7,4.57,0
2021-01-09,ISTANBUL,6,1,odendi,182295/182280/182300/182298/182281/182293,2/7/2/4/8/4,3032.56,0
2021-01-09,ISTANBUL,5,1,odendi,182280/182300/182298/182281/182293,7/2/4/8/4,964.55,0
2021-01-09,ISTANBUL,4,2,odendi,182300/182298/182281/182293,2/4/8/4,715.66,0
2021-01-09,ISTANBUL,3,2,odendi,182298/182281/182293,4/8/4,218.03,0
2021-01-10,ADANA,3,1,odendi,182311/182312/182287,"1/1,6,11/10",4.35,1
2021-01-10,ADANA,6,1,odendi,182312/182287/182309/182310/182308/182288,"1,6,11/10/6/5/1/6",51.28,1
2021-01-10,ADANA,5,1,odendi,182287/182309/182310/182308/182288,10/6/5/1/6,9.27,0
2021-01-10,ADANA,4,1,odendi,182309/182310/182308/182288,6/5/1/6,7.98,0
2021-01-10,ADANA,3,2,odendi,182310/182308/182288,5/1/6,2.08,0
2021-01-10,IZMIR,3,1,odendi,182292/182296/182299,1/4/8,17.66,0
2021-01-10,IZMIR,6,1,odendi,182283/182297/182292/182296/182299/182289,5/7/1/4/8/5,538.34,0
2021-01-10,IZMIR,5,1,odendi,182297/182292/182296/182299/182289,7/1/4/8/5,119.07,0
2021-01-10,IZMIR,6,2,odendi,182296/182299/182289/182286/182282/182294,4/8/5/4/7/11,264.26,0
2021-01-10,IZMIR,5,2,odendi,182299/182289/182286/182282/182294,8/5/4/7/11,50.15,0
2021-01-10,IZMIR,4,1,odendi,182289/182286/182282/182294,5/4/7/11,17.19,0
2021-01-10,IZMIR,3,2,odendi,182286/182282/182294,4/7/11,7.45,0
2021-01-11,BURSA,4,1,odendi,182315/182319/182324/182321,9/1/3/6,55.46,0
2021-01-11,BURSA,3,1,odendi,182319/182324/182321,1/3/6,21.9,0
2021-01-11,BURSA,6,1,odendi,182324/182321/182314/182323/182322/182320,3/6/1/4/2/1,1050.64,0
2021-01-11,BURSA,5,1,odendi,182321/182314/182323/182322/182320,6/1/4/2/1,131.43,0
2021-01-11,BURSA,4,2,odendi,182314/182323/182322/182320,1/4/2/1,39.16,0
2021-01-11,BURSA,3,2,odendi,182323/182322/182320,4/2/1,34.96,0
2021-01-11,SANLIURFA,4,1,odendi,182317/182325/182330/182316,2/7/9/11,215.48,0
2021-01-11,SANLIURFA,3,1,odendi,182325/182330/182316,7/9/11,47.12,0
2021-01-11,SANLIURFA,6,1,odendi,182330/182316/182329/182327/182318/182326,9/11/9/13/4/12,406586.28,0
2021-01-11,SANLIURFA,5,1,odendi,182316/182329/182327/182318/182326,11/9/13/4/12,22155.48,0
2021-01-11,SANLIURFA,4,2,odendi,182329/182327/182318/182326,9/13/4/12,4952.64,0
2021-01-11,SANLIURFA,3,2,odendi,182327/182318/182326,13/4/12,680.53,0
2021-01-12,ADANA,3,1,odendi,182334/182331/182338,4/10/8,16.81,0
2021-01-12,ADANA,6,1,odendi,182331/182338/182335/182339/182332/182340,10/8/2/2/4/14,99401.26,0
2021-01-12,ADANA,5,1,odendi,182338/182335/182339/182332/182340,8/2/2/4/14,9720.02,0
2021-01-12,ADANA,4,1,odendi,182335/182339/182332/182340,2/2/4/14,1562.99,0
2021-01-12,ADANA,3,2,odendi,182339/182332/182340,2/4/14,480.26,0
2021-01-12,KOCAELI,6,1,odendi,182342/182344/182343/182333/182337/182341,9/6/1/4/2/7,1255.54,0
2021-01-12,KOCAELI,5,1,odendi,182344/182343/182333/182337/182341,6/1/4/2/7,373.96,0
2021-01-12,KOCAELI,4,1,odendi,182343/182333/182337/182341,1/4/2/7,34.34,0
2021-01-12,KOCAELI,3,1,odendi,182333/182337/182341,4/2/7,39.85,0
2021-01-13,BURSA,4,1,odendi,182357/182349/182354/182347,1/6/1/8,5.94,0
2021-01-13,BURSA,3,1,odendi,182349/182354/182347,6/1/8,4.71,0
2021-01-13,BURSA,6,1,odendi,182354/182347/182350/182355/182348/182359,"1/8/6/2/5/1,6",497.93,1
2021-01-13,BURSA,5,1,odendi,182347/182350/182355/182348/182359,"8/6/2/5/1,6",73.69,1
2021-01-13,BURSA,4,2,odendi,182350/182355/182348/182359,"6/2/5/1,6",83.76,1
2021-01-13,BURSA,3,2,odendi,182355/182348/182359,"2/5/1,6",16.31,1
2021-01-13,ISTANBUL,4,1,odendi,182351/182346/182356/182358,"1/1,3/4/7",16.62,1
2021-01-13,ISTANBUL,3,1,odendi,182346/182356/182358,"1,3/4/7",3.18,1
2021-01-13,ISTANBUL,6,1,odendi,182356/182358/182345/182353/182352/182360,"4/7/1,9/6/5/11",384.08,1
2021-01-13,ISTANBUL,5,1,odendi,182358/182345/182353/182352/182360,"7/1,9/6/5/11",100.8,1
2021-01-13,ISTANBUL,4,2,odendi,182345/182353/182352/182360,"1,9/6/5/11",49.22,1
2021-01-13,ISTANBUL,3,2,odendi,182353/182352/182360,6/5/11,15.31,0
2021-01-14,IZMIR,3,1,odendi,182362/182370/182361,7/9/6,13.67,0
2021-01-14,IZMIR,6,1,odendi,182370/182361/182369/182367/182366/182368,9/6/4/5/5/5,3108.74,0
2021-01-14,IZMIR,5,1,odendi,182361/182369/182367/182366/182368,6/4/5/5/5,307.17,0
2021-01-14,IZMIR,4,1,odendi,182369/182367/182366/182368,4/5/5/5,79.26,0
2021-01-14,IZMIR,3,2,odendi,182367/182366/182368,5/5/5,19.15,0
2021-01-14,SANLIURFA,4,1,odendi,182363/182373/182371/182365,"9/4,13/13/3",220.95,1
2021-01-14,SANLIURFA,3,1,odendi,182373/182371/182365,"4,13/13/3",15.15,1
2021-01-14,SANLIURFA,6,1,odendi,182371/182365/182374/182375/182364/182372,13/3/14/1/3/2,74155.66,0
2021-01-14,SANLIURFA,5,1,odendi,182365/182374/182375/182364/182372,3/14/1/3/2,9234.89,0
2021-01-14,SANLIURFA,4,2,odendi,182374/182375/182364/182372,14/1/3/2,3842.83,0
2021-01-14,SANLIURFA,3,2,odendi,182375/182364/182372,1/3/2,166.91,0
2021-01-15,IZMIR,3,1,odendi,182379/182386/182377,"1,3/8/8",4.87,1
2021-01-15,IZMIR,6,1,odendi,182386/182377/182389/182388/182378/182381,8/8/2/2/4/7,132.55,0
2021-01-15,IZMIR,5,1,odendi,182377/182389/182388/182378/182381,8/2/2/4/7,22.37,0
2021-01-15,IZMIR,4,1,odendi,182389/182388/182378/182381,2/2/4/7,14.85,0
2021-01-15,IZMIR,3,2,odendi,182388/182378/182381,2/4/7,7.62,0
2021-01-15,KOCAELI,6,1,odendi,182380/182384/182383/182385/182382/182387,"9/1/4/7/2,4,8/7",493.52,1
2021-01-15,KOCAELI,5,1,odendi,182384/182383/182385/182382/182387,"1/4/7/2,4,8/7",40.88,1
2021-01-15,KOCAELI,4,1,odendi,182383/182385/182382/182387,"4/7/2,4,8/7",14.1,1
2021-01-15,KOCAELI,3,1,odendi,182385/182382/182387,"7/2,4,8/7",3.55,1
2021-01-16,ADANA,3,1,odendi,182391/182415/182417,4/1/11,25.97,0
2021-01-16,ADANA,6,1,odendi,182415/182417/182413/182411/182390/182416,1/11/3/4/1/3,4416.92,0
2021-01-16,ADANA,5,1,odendi,182417/182413/182411/182390/182416,11/3/4/1/3,587.54,0
2021-01-16,ADANA,4,1,odendi,182413/182411/182390/182416,3/4/1/3,191.24,0
2021-01-16,ADANA,3,2,odendi,182411/182390/182416,4/1/3,10.58,0
2021-01-16,ISTANBUL,3,1,odendi,182409/182412/182406,1/4/6,101.13,0
2021-01-16,ISTANBUL,6,1,odendi,182412/182406/182410/182403/182400/182414,4/6/7/7/4/5,27215.78,0
2021-01-16,ISTANBUL,5,1,odendi,182406/182410/182403/182400/182414,6/7/7/4/5,1450.3,0
2021-01-16,ISTANBUL,4,1,odendi,182410/182403/182400/182414,7/7/4/5,338.67,0
2021-01-16,ISTANBUL,3,2,odendi,182403/182400/182414,7/4/5,56.56,0
2021-01-17,ADANA,3,1,odendi,182401/182407/182393,5/6/13,10.21,0
2021-01-17,ADANA,6,1,odendi,182407/182393/182408/182402/182392/182404,"6/13/3,10/6/8/6,7,11",2624.58,1
2021-01-17,ADANA,5,1,odendi,182393/182408/182402/182392/182404,"13/3,10/6/8/6,7,11",472.4,1
2021-01-17,ADANA,4,1,odendi,182408/182402/182392/182404,"3,10/6/8/6,7,11",158.04,1
2021-01-17,ADANA,3,2,odendi,182402/182392/182404,"6/8/6,7,11",137.98,1
2021-01-17,IZMIR,3,1,odendi,182396/182395/182399,4/2/4,217.72,0
2021-01-17,IZMIR,6,1,odendi,182395/182399/182405/182398/182397/182394,2/4/3/4/3/1,3423.01,0
2021-01-17,IZMIR,5,1,odendi,182399/182405/182398/182397/182394,4/3/4/3/1,222.56,0
2021-01-17,IZMIR,4,1,odendi,182405/182398/182397/182394,3/4/3/1,16.62,0
2021-01-17,IZMIR,3,2,odendi,182398/182397/182394,4/3/1,6.48,0
2021-01-18,SANLIURFA,4,1,odendi,182421/182429/182422/182426,4/11/5/5,294.21,0
2021-01-18,SANLIURFA,3,1,odendi,182429/182422/182426,11/5/5,108.16,0
2021-01-18,SANLIURFA,6,1,odendi,182422/182426/182420/182430/182427/182425,"5/5/11/8,11/9/6",3933.02,1
2021-01-18,SANLIURFA,5,1,odendi,182426/182420/182430/182427/182425,"5/11/8,11/9/6",966.38,1
2021-01-18,SANLIURFA,4,2,odendi,182420/182430/182427/182425,"11/8,11/9/6",254.67,1
2021-01-18,SANLIURFA,3,2,odendi,182430/182427/182425,"8,11/9/6",62.42,1
2021-01-19,ADANA,4,1,odendi,182436/182445/182439/182441,11/1/6/4,68.07,0
2021-01-19,ADANA,3,1,odendi,182445/182439/182441,1/6/4,61.31,0
2021-01-19,ADANA,6,1,odendi,182439/182441/182437/182443/182440/182438,6/4/2/5/2/1,513.07,0
2021-01-19,ADANA,5,1,odendi,182441/182437/182443/182440/182438,4/2/5/2/1,111.55,0
2021-01-19,ADANA,4,2,odendi,182437/182443/182440/182438,2/5/2/1,9.49,0
2021-01-19,ADANA,3,2,odendi,182443/182440/182438,5/2/1,5.0,0
2021-01-20,ISTANBUL,4,1,odendi,182459/182453/182455/182451,2/2/6/4,12.98,0
2021-01-20,ISTANBUL,3,1,odendi,182453/182455/182451,2/6/4,4.33,0
2021-01-20,ISTANBUL,6,1,odendi,182455/182451/182457/182454/182452/182460,"6/4/6/6/7/1,5",187.43,1
2021-01-20,ISTANBUL,5,1,odendi,182451/182457/182454/182452/182460,"4/6/6/7/1,5",61.54,1
2021-01-20,ISTANBUL,4,2,odendi,182457/182454/182452/182460,"6/6/7/1,5",26.83,1
2021-01-20,ISTANBUL,3,2,odendi,182454/182452/182460,"6/7/1,5",7.23,1
2021-01-21,IZMIR,6,1,odendi,182472/182470/182469/182471/182467/182468,6/1/2/2/5/4,778.87,0
2021-01-21,IZMIR,5,1,odendi,182470/182469/182471/182467/182468,1/2/2/5/4,91.74,0
2021-01-21,IZMIR,4,1,odendi,182469/182471/182467/182468,2/2/5/4,36.76,0
2021-01-21,IZMIR,3,1,odendi,182471/182467/182468,2/5/4,10.81,0
2021-01-21,SANLIURFA,6,1,odendi,182474/182466/182475/182473/182464/182476,8/8/7/7/12/4,572160.55,0
2021-01-21,SANLIURFA,5,1,odendi,182466/182475/182473/182464/182476,8/7/7/12/4,26250.85,0
2021-01-21,SANLIURFA,4,2,odendi,182475/182473/182464/182476,7/7/12/4,12076.51,0
2021-01-21,SANLIURFA,3,2,odendi,182473/182464/182476,7/12/4,225.08,0
2021-01-22,IZMIR,3,1,odendi,182484/182479/182492,4/3/8,52.98,0
2021-01-22,IZMIR,6,1,odendi,182479/182492/182491/182487/182478/182490,3/8/6/5/6/1,850.03,0
2021-01-22,IZMIR,5,1,odendi,182492/182491/182487/182478/182490,8/6/5/6/1,143.57,0
2021-01-22,IZMIR,4,1,odendi,182491/182487/182478/182490,6/5/6/1,14.98,0
2021-01-22,IZMIR,3,2,odendi,182487/182478/182490,5/6/1,8.56,0
2021-01-22,KOCAELI,6,1,odendi,182486/182481/182485/182482/182483/182480,8/2/1/3/3/6,71.14,0
2021-01-22,KOCAELI,5,1,odendi,182481/182485/182482/182483/182480,2/1/3/3/6,9.59,0
2021-01-22,KOCAELI,4,1,odendi,182485/182482/182483/182480,1/3/3/6,1.99,0
2021-01-22,KOCAELI,3,1,odendi,182482/182483/182480,3/3/6,1.12,0
2021-01-23,ADANA,3,1,odendi,182518/182524/182501,5/10/6,82.46,0
2021-01-23,ADANA,6,1,odendi,182524/182501/182523/182516/182502/182521,10/6/4/4/6/8,3479.87,0
2021-01-23,ADANA,5,1,odendi,182501/182523/182516/182502/182521,6/4/4/6/8,186.03,0
2021-01-23,ADANA,4,1,odendi,182523/182516/182502/182521,4/4/6/8,46.84,0
2021-01-23,ADANA,3,2,odendi,182516/182502/182521,4/6/8,6.8,0
2021-01-23,ISTANBUL,4,1,odendi,182505/182503/182511/182496,"3/4/7/1,10",41.2,1
2021-01-23,ISTANBUL,3,1,odendi,182503/182511/182496,"4/7/1,10",13.47,1
2021-01-23,ISTANBUL,6,1,odendi,182511/182496/182525/182507/182495/182510,"7/1,10/9/3/4/5",122.83,1
2021-01-23,ISTANBUL,5,1,odendi,182496/182525/182507/182495/182510,"1,10/9/3/4/5",36.09,1
2021-01-23,ISTANBUL,4,2,odendi,182525/182507/182495/182510,9/3/4/5,10.37,0
2021-01-23,ISTANBUL,3,2,odendi,182507/182495/182510,3/4/5,3.78,0
2021-01-24,ADANA,3,1,odendi,182498/182522/182497,5/8/1,15.01,0
2021-01-24,ADANA,6,1,odendi,182522/182497/182515/182520/182514/182519,8/1/2/2/8/4,126.58,0
2021-01-24,ADANA,5,1,odendi,182497/182515/182520/182514/182519,1/2/2/8/4,22.09,0
2021-01-24,ADANA,4,1,odendi,182515/182520/182514/182519,2/2/8/4,3.6,0
2021-01-24,ADANA,3,2,odendi,182520/182514/182519,2/8/4,2.48,0
2021-01-24,IZMIR,3,1,odendi,182508/182509/182517,3/8/1,83.68,0
2021-01-24,IZMIR,6,1,odendi,182494/182504/182508/182509/182517/182512,8/2/3/8/1/8,159.41,0
2021-01-24,IZMIR,5,1,odendi,182504/182508/182509/182517/182512,2/3/8/1/8,138.73,0
2021-01-24,IZMIR,6,2,odendi,182509/182517/182512/182513/182506/182493,"8/1/8/4,7/6/5",9176.17,1
2021-01-24,IZMIR,5,2,odendi,182517/182512/182513/182506/182493,"1/8/4,7/6/5",379.4,1
2021-01-24,IZMIR,4,1,odendi,182512/182513/182506/182493,"8/4,7/6/5",81.64,1
2021-01-24,IZMIR,3,2,odendi,182513/182506/182493,"4,7/6/5",25.35,1
2021-01-25,BURSA,3,1,odendi,182535/182530/182526,3/5/2,11.5,0
2021-01-25,BURSA,6,1,odendi,182530/182526/182528/182529/182527/182532,5/2/4/6/1/3,489.9,0
2021-01-25,BURSA,5,1,odendi,182526/182528/182529/182527/182532,2/4/6/1/3,76.6,0
2021-01-25,BURSA,4,1,odendi,182528/182529/182527/182532,4/6/1/3,88.78,0
2021-01-25,BURSA,3,2,odendi,182529/182527/182532,6/1/3,66.01,0
2021-01-25,SANLIURFA,6,1,odendi,182538/182537/182531/182536/182534/182533,"2/8/9/4/11/3,4",6385.66,1
2021-01-25,SANLIURFA,5,1,odendi,182537/182531/182536/182534/182533,"8/9/4/11/3,4",521.51,1
2021-01-25,SANLIURFA,4,1,odendi,182531/182536/182534/182533,"9/4/11/3,4",58.01,1
2021-01-25,SANLIURFA,3,1,odendi,182536/182534/182533,"4/11/3,4",15.33,1
2021-01-26,ADANA,3,1,odendi,182548/182544/182540,"5/2,5/7",6.63,1
2021-01-26,ADANA,6,1,odendi,182544/182540/182547/182545/182539/182546,"2,5/7/8/3/5/4,6,12",13812.84,1
2021-01-26,ADANA,5,1,odendi,182540/182547/182545/182539/182546,"7/8/3/5/4,6,12",6139.25,1
2021-01-26,ADANA,4,1,odendi,182547/182545/182539/182546,"8/3/5/4,6,12",3043.66,1
2021-01-26,ADANA,3,2,odendi,182545/182539/182546,"3/5/4,6,12",508.58,1
2021-01-26,KOCAELI,6,1,odendi,182550/182549/182541/182542/182543/182551,2/12/1/3/5/2,4466.5,0
2021-01-26,KOCAELI,5,1,odendi,182549/182541/182542/182543/182551,12/1/3/5/2,617.34,0
2021-01-26,KOCAELI,4,1,odendi,182541/182542/182543/182551,1/3/5/2,31.05,0
2021-01-26,KOCAELI,3,1,odendi,182542/182543/182551,3/5/2,9.5,0
2021-01-27,BURSA,3,1,odendi,182553/182560/182561,1/5/3,32.61,0
2021-01-27,BURSA,6,1,odendi,182560/182561/182562/182564/182559/182552,5/3/10/1/1/4,39008.63,0
2021-01-27,BURSA,5,1,odendi,182561/182562/182564/182559/182552,3/10/1/1/4,2754.18,0
2021-01-27,BURSA,4,1,odendi,182562/182564/182559/182552,10/1/1/4,583.17,0
2021-01-27,BURSA,3,2,odendi,182564/182559/182552,1/1/4,49.12,0
2021-01-27,ISTANBUL,3,1,odendi,182557/182565/182555,2/5/1,10.12,0
2021-01-27,ISTANBUL,6,1,odendi,182567/182556/182557/182565/182555/182566,8/3/2/5/1/4,195.66,0
2021-01-27,ISTANBUL,5,1,odendi,182556/182557/182565/182555/182566,3/2/5/1/4,54.82,0
2021-01-27,ISTANBUL,6,2,odendi,182565/182555/182566/182558/182554/182563,5/1/4/1/10/16,2534.79,0
2021-01-27,ISTANBUL,5,2,odendi,182555/182566/182558/182554/182563,1/4/1/10/16,459.03,0
2021-01-27,ISTANBUL,4,1,odendi,182566/182558/182554/182563,4/1/10/16,212.48,0
2021-01-27,ISTANBUL,3,2,odendi,182558/182554/182563,1/10/16,101.76,0
2021-01-28,IZMIR,6,1,odendi,182571/182575/182574/182573/182572/182576,3/7/1/2/2/5,2577.29,0
2021-01-28,IZMIR,5,1,odendi,182575/182574/182573/182572/182576,7/1/2/2/5,716.57,0
2021-01-28,IZMIR,4,1,odendi,182574/182573/182572/182576,1/2/2/5,255.25,0
2021-01-28,IZMIR,3,1,odendi,182573/182572/182576,2/2/5,196.31,0
2021-01-28,SANLIURFA,4,1,odendi,182569/182577/182570/182581,14/3/13/3,2542.45,0
2021-01-28,SANLIURFA,3,1,odendi,182577/182570/182581,3/13/3,183.96,0
2021-01-28,SANLIURFA,6,1,odendi,182570/182581/182578/182580/182568/182579,"13/3/7/3/13/7,11",58923.75,1
2021-01-28,SANLIURFA,5,1,odendi,182581/182578/182580/182568/182579,"3/7/3/13/7,11",2540.93,1
2021-01-28,SANLIURFA,4,2,odendi,182578/182580/182568/182579,"7/3/13/7,11",450.35,1
