kayit_ts,tarih,pist,seq,ilk_saat,config,ayak,kosu_no,race_kod,saat,secim,banker,nat,kazanan,tuttu,sonuclandi
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,dar,5,5,226339,16:30,"3,5",0,2,5.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,dar,6,6,226330,17:00,"6,8",0,2,8.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,1,1,226331,14:30,"1,6",0,2,9.0,0.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,2,2,226334,15:00,2,1,1,2.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,3,3,226340,15:30,"3,4",0,2,5.0,0.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,4,4,226333,16:00,"1,4,5",0,3,1.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,5,5,226339,16:30,"3,5",0,2,5.0,1.0,2026-07-22
2026-07-22 14:00,2026-07-22,ISTANBUL,1,14:30,orta,6,6,226330,17:00,"2,6,8",0,3,8.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,1,3,226340,15:30,9,0,1,5.0,0.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,2,4,226333,16:00,1,0,1,1.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,3,5,226339,16:30,"3,5",0,2,5.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,4,6,226330,17:00,"6,8",0,2,8.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,5,7,226326,17:30,"2,4",0,2,2.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,dar,6,8,226338,18:00,"4,15",0,2,10.0,0.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,1,3,226340,15:30,"4,9",0,2,5.0,0.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,2,4,226333,16:00,"1,5",0,2,1.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,3,5,226339,16:30,"3,5",0,2,5.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,4,6,226330,17:00,"6,8",0,2,8.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,5,7,226326,17:30,"2,4",0,2,2.0,1.0,2026-07-22
2026-07-22 15:00,2026-07-22,ISTANBUL,2,15:30,orta,6,8,226338,18:00,"2,4,15",0,3,10.0,0.0,2026-07-22
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,1,1,226352,14:30,3,0,1,4.0,0.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,2,2,226341,15:00,2,0,1,3.0,0.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,3,3,226344,15:30,"1,4",0,2,1.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,4,4,226354,16:00,"1,3",0,2,3.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,5,5,226343,16:30,"2,7",0,2,7.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,dar,6,6,226342,17:00,"1,2",0,2,1.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,1,1,226352,14:30,"3,4",0,2,4.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,2,2,226341,15:00,"2,4",0,2,3.0,0.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,3,3,226344,15:30,"1,4",0,2,1.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,4,4,226354,16:00,"1,3",0,2,3.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,5,5,226343,16:30,"1,2,7",0,3,7.0,1.0,2026-07-23
2026-07-23 14:00,2026-07-23,ANKARA,1,14:30,orta,6,6,226342,17:00,"1,2",0,2,1.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,1,3,226344,15:30,4,0,1,1.0,0.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,2,4,226354,16:00,"1,3",0,2,3.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,3,5,226343,16:30,"2,7",0,2,7.0,1.0,2026-07-23
2026-07-23 15:00,2026-07-23,ANKARA,2,15:30,dar,4,6,226342,17:00,"1,2",0,2,1.0,1.0,2026-07-23
