race_kod,no,at_kod,bot2,kamu,kazandi,irk
182164,1,46135,0.060818517039188044,0.059543593385357585,0,Ingiliz
182164,2,72674,0.2599180104949428,0.25665341976447237,1,Ingiliz
182164,3,74513,0.10044806093271216,0.11108879362939847,0,Ingiliz
182164,4,60993,0.15042799882734217,0.13410719230936394,0,Ingiliz
182164,5,51778,0.03894887138672667,0.0410079844251774,0,Ingiliz
182164,6,76255,0.029832157061202312,0.030692573909978135,0,Ingiliz
182164,7,83038,0.01613234122375501,0.016669539021656656,0,Ingiliz
182164,8,76469,0.09675532297541282,0.09793354175223286,0,Ingiliz
182164,9,70793,0.24671872005871787,0.2523033618023626,0,Ingiliz
182381,1,63102,0.04449191440913655,0.04345166931183205,0,Ingiliz
182381,2,61389,0.16327214248675348,0.18399904412294313,0,Ingiliz
182381,3,58335,0.038878593263535384,0.043964373374508536,0,Ingiliz
182381,4,79087,0.059329249318277315,0.05602978411262553,0,Ingiliz
182381,5,80350,0.007464785472283904,0.007604042129570609,0,Ingiliz
182381,6,76255,0.015372021941160916,0.01565538085499831,0,Ingiliz
182381,7,53190,0.2997194216395229,0.2483987095659732,1,Ingiliz
182381,8,78324,0.052063418161145285,0.052478600612529555,0,Ingiliz
182381,9,72153,0.04870534355498364,0.05867686052739525,0,Ingiliz
182381,10,46135,0.058265321191490915,0.05688520066396333,0,Ingiliz
182381,11,68710,0.02463594997549054,0.029166188990133842,0,Ingiliz
182381,12,83038,0.01031849535138303,0.011007328341180497,0,Ingiliz
182381,13,77234,0.03592614841689826,0.0413997849276622,0,Ingiliz
182381,14,78938,0.004570424572784369,0.005619880306922471,0,Ingiliz
182381,15,60919,0.10637151889174822,0.11290850434816965,0,Ingiliz
182381,16,74544,0.009479143682282264,0.011325169129147716,0,Ingiliz
182381,17,84658,0.011622087578104599,0.01144694514128909,0,Ingiliz
182381,18,84546,0.009514020093018423,0.009982533539154985,0,Ingiliz
182576,1,60993,0.11408957810419071,0.11663885417189394,0,Ingiliz
182576,2,73705,0.03836654573230131,0.0439110980411836,0,Ingiliz
182576,3,63102,0.07428517958026035,0.08434900188701935,0,Ingiliz
182576,4,68710,0.06719693206890313,0.06220738889167676,0,Ingiliz
182576,5,76255,0.015493378974143922,0.01727983024768799,1,Ingiliz
182576,6,60919,0.1564482042693274,0.15234462585716757,0,Ingiliz
182576,7,46135,0.06842407063335115,0.06786260606364738,0,Ingiliz
182576,8,84546,0.011185793578538375,0.014494925566992644,0,Ingiliz
182576,9,77386,0.007920362423658928,0.009395703797358353,0,Ingiliz
182576,10,51778,0.2145892874794733,0.1964443859737161,0,Ingiliz
182576,11,70419,0.08034779678709346,0.08248493554697471,0,Ingiliz
182576,12,84658,0.009125201106305308,0.010094505296823816,0,Ingiliz
182576,13,69802,0.12035272971560619,0.11484441026155712,0,Ingiliz
182576,14,76438,0.02217493954684653,0.027647728396300784,0,Ingiliz
182811,1,74021,0.04208296111832649,0.05124907204476006,0,Ingiliz
182811,2,51742,0.13108340399621515,0.11063291742995823,0,Ingiliz
182811,3,46135,0.04657659446424859,0.051628694800647176,0,Ingiliz
182811,4,77387,0.3339952835223203,0.30977216880388303,0,Ingiliz
182811,5,69609,0.07133386883129939,0.0834715424920643,0,Ingiliz
182811,6,72454,0.13690538372221842,0.1278875926254563,0,Ingiliz
182811,7,76255,0.03134511532366451,0.03529050024348035,0,Ingiliz
182811,8,51778,0.09928107026246505,0.10806005888507549,1,Ingiliz
182811,9,60993,0.05760204928392339,0.0673417758269311,0,Ingiliz
182811,10,77920,0.049794269475318766,0.054665676847744066,0,Ingiliz
182979,1,60923,0.10833986848420683,0.10708535872938343,0,Ingiliz
182979,2,46135,0.014337897242478737,0.01901789157762274,0,Ingiliz
182979,3,74513,0.07360991269686833,0.07139023915292228,0,Ingiliz
182979,4,75344,0.26783063560021614,0.23595079042067535,0,Ingiliz
182979,5,72798,0.27024740953338905,0.2900228465587468,0,Ingiliz
182979,6,72454,0.08288750207806009,0.07954912362754198,0,Ingiliz
182979,7,77387,0.04942066553855704,0.050806922024889956,1,Ingiliz
182979,8,84971,0.10363523507922788,0.10875856745953005,0,Ingiliz
182979,9,60993,0.015483173274620366,0.019774284992641826,0,Ingiliz
182979,10,72153,0.014207700472375543,0.017643975456045433,0,Ingiliz
183171,1,60993,0.021081960855179372,0.025492017018086902,0,Ingiliz
183171,2,46135,0.02105455513583864,0.024811625104792765,0,Ingiliz
183171,3,76166,0.36446837114063774,0.3031333328020334,0,Ingiliz
183171,4,72706,0.036853354735530204,0.03320031740212746,0,Ingiliz
183171,5,72977,0.05576430499549625,0.05363128195728283,0,Ingiliz
183171,6,74513,0.09539970378895737,0.08660952365772381,0,Ingiliz
183171,7,73969,0.018786582057749385,0.021095511813757243,0,Ingiliz
183171,8,51778,0.10134232377423034,0.10979632526687823,0,Ingiliz
183171,9,77920,0.03566749404766751,0.037788979156893054,0,Ingiliz
